,Asset No,Final Closing Assets_x,Cost Beginning Balance_y
3,580692.0,999173.62,1092673.61
54,603716.0,13661559.82,14654284.82
55,603771.0,4725.0,0.0
56,603772.0,490000.0,508000.0
57,603773.0,120000.0,75000.0
58,,41735068.91,43506172.77
