,Asset No,Final Closing Assets_x,Cost Beginning Balance_y
7734,600692,20600.0,61800.0
12274,604005,675230.75,0.0
12275,604006,21200.0,0.0
12295,604026,37970.79,0.0
12327,604109,14000.0,0.0
12366,,745081115.89,744386114.04
