,Asset No,NAV_x,NAV_y
455,413068,1900.14,1815.87
456,413069,1900.14,1815.87
503,413116,325.57,311.13
504,413117,325.57,311.13
505,413118,325.57,311.13
506,413119,325.57,311.13
507,413120,325.57,311.13
508,413121,325.57,311.13
509,413122,325.57,311.13
510,413123,189.58,181.17
511,413124,189.58,181.17
512,413125,189.58,181.17
513,413126,189.58,181.17
514,413127,189.58,181.17
515,413128,189.58,181.17
516,413129,189.58,181.17
517,413130,189.58,181.17
518,413131,189.58,181.17
519,413132,325.57,311.13
520,413133,325.57,311.13
521,413134,325.57,311.13
522,413135,325.57,311.13
523,413136,325.57,311.13
524,413137,325.57,311.13
525,413138,325.57,311.13
526,413139,325.57,311.13
527,413140,325.57,311.13
528,413141,325.57,311.13
529,413142,325.57,311.13
530,413143,325.57,311.13
531,413144,325.57,311.13
532,413145,325.57,311.13
533,413146,325.57,311.13
534,413147,325.57,311.13
535,413148,325.57,311.13
536,413149,325.57,311.13
537,413150,325.57,311.13
538,413151,325.57,311.13
539,413152,325.57,311.13
540,413153,325.57,311.13
541,413154,325.57,311.13
542,413155,325.57,311.13
543,413156,325.57,311.13
544,413157,325.57,311.13
545,413158,325.57,311.13
546,413159,325.57,311.13
547,413160,149.42,142.8
548,413161,149.42,142.8
549,413162,49.78,47.57
550,413163,49.78,47.57
551,413164,49.78,47.57
552,413165,49.78,47.57
553,413166,49.78,47.57
554,413167,49.78,47.57
555,413168,273.84,261.69
556,413169,273.84,261.69
557,413170,273.84,261.69
558,413171,273.84,261.69
559,413172,273.84,261.69
560,413173,273.84,261.69
561,413174,273.84,261.69
562,413175,273.84,261.69
563,413176,273.84,261.69
564,413177,273.84,261.69
565,413178,273.84,261.69
566,413179,273.84,261.69
567,413180,273.84,261.69
568,413181,273.84,261.69
569,413182,273.84,261.69
570,413183,273.84,261.69
571,413184,273.84,261.69
572,413185,273.84,261.69
573,413186,273.84,261.69
574,413187,273.84,261.69
575,413188,273.84,261.69
576,413189,273.84,261.69
577,413190,149.42,142.8
578,413191,149.42,142.8
579,413192,478.78,457.55
580,413193,478.78,457.55
581,413194,149.42,142.8
582,413195,149.42,142.8
583,413196,149.42,142.8
584,413197,185.77,177.53
585,413198,185.77,177.53
586,413199,185.77,177.53
587,413200,185.77,177.53
588,413201,185.77,177.53
589,413202,185.77,177.53
590,413203,185.77,177.53
591,413204,185.77,177.53
592,413205,185.77,177.53
593,413206,185.77,177.53
594,413207,185.77,177.53
595,413208,185.77,177.53
596,413209,273.84,261.69
597,413210,273.84,261.69
598,413211,273.84,261.69
599,413212,273.84,261.69
600,413213,185.77,177.53
601,413214,185.77,177.53
602,413215,149.42,142.8
603,413216,149.42,142.8
604,413217,149.42,142.8
605,413218,149.42,142.8
606,413219,149.42,142.8
607,413220,149.42,142.8
608,413221,187.72,179.4
609,413222,187.72,179.4
610,413223,187.72,179.4
611,413224,187.72,179.4
612,413225,187.72,179.4
613,413226,187.72,179.4
614,413227,187.72,179.4
615,413228,187.72,179.4
616,413229,187.72,179.4
617,413230,325.57,311.13
618,413231,325.57,311.13
619,413232,325.57,311.13
620,413233,325.57,311.13
621,413234,325.57,311.13
622,413235,325.57,311.13
623,413236,325.57,311.13
624,413237,325.57,311.13
625,413238,325.57,311.13
626,413239,325.57,311.13
627,413240,325.57,311.13
628,413241,325.57,311.13
629,413242,325.57,311.13
630,413243,325.57,311.13
631,413244,325.57,311.13
632,413245,185.77,177.53
633,413246,185.77,177.53
634,413247,185.77,177.53
635,413248,63.23,60.43
636,413249,63.23,60.43
637,413250,63.23,60.43
638,413251,63.23,60.43
639,413252,63.23,60.43
640,413253,63.23,60.43
641,413254,469.18,448.37
642,413255,469.18,448.37
643,413256,469.18,448.37
644,413257,63.23,60.43
645,413258,63.23,60.43
646,413259,63.23,60.43
647,413260,63.23,60.43
648,413261,63.23,60.43
649,413262,63.23,60.43
650,413263,273.84,261.69
651,413264,273.84,261.69
652,413265,756.43,722.88
653,413266,756.43,722.88
654,413267,756.43,722.88
655,413268,756.43,722.88
656,413269,187.72,179.4
657,413270,187.72,179.4
658,413271,187.72,179.4
659,413272,63.23,60.43
660,413273,63.23,60.43
661,413274,63.23,60.43
662,413275,273.84,261.69
663,413276,273.84,261.69
664,413277,185.77,177.53
665,413278,185.77,177.53
666,413279,185.77,177.53
667,413280,185.77,177.53
668,413281,273.84,261.69
669,413282,273.84,261.69
670,413283,185.77,177.53
671,413284,185.77,177.53
672,413285,185.77,177.53
673,413286,185.77,177.53
674,413287,756.43,722.88
675,413288,756.43,722.88
676,413289,273.84,261.69
677,413290,273.84,261.69
678,413291,273.84,261.69
679,413292,185.77,177.53
680,413293,185.77,177.53
681,413294,185.77,177.53
682,413295,185.77,177.53
683,413296,185.77,177.53
684,413297,63.23,60.43
685,413298,63.23,60.43
686,413299,63.23,60.43
687,413300,335.18,320.32
688,413301,335.18,320.32
689,413302,187.72,179.4
690,413303,187.72,179.4
691,413304,187.72,179.4
692,413305,469.18,448.37
693,413306,469.18,448.37
694,413307,469.18,448.37
695,413308,469.18,448.37
696,413309,469.18,448.37
697,413310,469.18,448.37
698,413311,469.18,448.37
699,413312,469.18,448.37
700,413313,101.49,96.99
701,413314,101.49,96.99
702,413315,101.49,96.99
703,413316,101.49,96.99
704,413317,101.49,96.99
705,413318,101.49,96.99
706,413319,101.49,96.99
707,413320,101.49,96.99
708,413321,101.49,96.99
709,413322,101.49,96.99
710,413323,101.49,96.99
711,413324,101.49,96.99
712,413325,101.49,96.99
713,413326,101.49,96.99
714,413327,101.49,96.99
715,413328,101.49,96.99
716,413329,101.49,96.99
717,413330,101.49,96.99
718,413331,101.49,96.99
719,413332,101.49,96.99
720,413333,101.49,96.99
721,413334,101.49,96.99
722,413335,101.49,96.99
723,413336,101.49,96.99
724,413337,101.49,96.99
725,413338,101.49,96.99
726,413339,101.49,96.99
727,413340,101.49,96.99
728,413341,101.49,96.99
729,413342,101.49,96.99
730,413343,101.49,96.99
731,413344,101.49,96.99
732,413345,101.49,96.99
733,413346,101.49,96.99
734,413347,101.49,96.99
735,413348,101.49,96.99
736,413349,101.49,96.99
737,413350,101.49,96.99
738,413351,101.49,96.99
739,413352,101.49,96.99
740,413353,273.84,261.69
741,413354,273.84,261.69
742,413355,149.42,142.8
743,413356,149.42,142.8
744,413357,149.42,142.8
745,413358,149.42,142.8
746,413359,273.84,261.69
747,413360,273.84,261.69
748,413361,149.42,142.8
749,413362,149.42,142.8
750,413363,149.42,142.8
751,413364,149.42,142.8
752,413365,185.77,177.53
753,413366,185.77,177.53
754,413367,185.77,177.53
755,413368,185.77,177.53
756,413369,185.77,177.53
757,413370,273.84,261.69
