,Asset No,Final Closing Assets_x,Cost Beginning Balance_y
7742,600692,20600.0,61800.0
12407,604005,675230.75,0.0
12408,604006,21200.0,0.0
12428,604026,37970.79,0.0
12460,604109,14000.0,0.0
12499,,750386725.79,749691723.94
