,Asset No,Revised Accum Dep_x,Dep. Beginning Balance_y
9272,492693,13471.56,35721.38
12275,604006,1761.82,0.0
12295,604026,624.18,0.0
12327,604109,467.95,0.0
12366,,549495656.41,541629017.8
